1 | master/main.c:31 | Oct 22 2025 | 13:00:30 | main | Error con operacion con punteros dinamicos.
1 | master/main.c:38 | Oct 22 2025 | 13:00:30 | main | Error con operacion con punteros dinamicos.
1 | master/main.c:31 | Oct 22 2025 | 13:00:30 | main | Error con operacion con punteros dinamicos.
1 | master/main.c:38 | Oct 22 2025 | 13:00:30 | main | Error con operacion con punteros dinamicos.
1 | master/main.c:31 | Oct 22 2025 | 13:00:30 | main | Error con operacion con punteros dinamicos.
1 | master/main.c:38 | Oct 22 2025 | 13:00:30 | main | Error con operacion con punteros dinamicos.
1 | master/main.c:31 | Oct 22 2025 | 13:00:30 | main | Error con operacion con punteros dinamicos.
1 | master/main.c:39 | Oct 22 2025 | 13:00:30 | main | Error con operacion con punteros dinamicos.
1 | master/main.c:31 | Oct 22 2025 | 13:00:30 | main | Error con operacion con punteros dinamicos.
1 | master/main.c:39 | Oct 22 2025 | 13:00:30 | main | Error con operacion con punteros dinamicos.
1 | master/main.c:31 | Oct 22 2025 | 13:00:30 | main | Error con operacion con punteros dinamicos.
1 | master/main.c:39 | Oct 22 2025 | 13:00:30 | main | Error con operacion con punteros dinamicos.
1 | master/main.c:31 | Oct 22 2025 | 13:00:30 | main | Error con operacion con punteros dinamicos.
1 | master/main.c:39 | Oct 22 2025 | 13:00:30 | main | Error con operacion con punteros dinamicos.
1 | master/main.c:31 | Oct 22 2025 | 13:00:30 | main | Error con operacion con punteros dinamicos.
1 | master/main.c:39 | Oct 22 2025 | 13:00:30 | main | Error con operacion con punteros dinamicos.
1 | master/main.c:31 | Oct 22 2025 | 13:00:30 | main | Error con operacion con punteros dinamicos.
1 | master/main.c:39 | Oct 22 2025 | 13:00:30 | main | Error con operacion con punteros dinamicos.
1 | master/main.c:31 | Oct 22 2025 | 13:00:30 | main | Error con operacion con punteros dinamicos.
1 | master/main.c:39 | Oct 22 2025 | 13:00:30 | main | Error con operacion con punteros dinamicos.
1 | master/main.c:31 | Oct 22 2025 | 13:00:30 | main | Error con operacion con punteros dinamicos.
1 | master/main.c:39 | Oct 22 2025 | 13:00:30 | main | Error con operacion con punteros dinamicos.
1 | master/main.c:31 | Oct 22 2025 | 13:00:30 | main | Error con operacion con punteros dinamicos.
1 | master/main.c:39 | Oct 22 2025 | 13:00:30 | main | Error con operacion con punteros dinamicos.
1 | master/main.c:31 | Oct 22 2025 | 13:00:30 | main | Error con operacion con punteros dinamicos.
1 | master/main.c:39 | Oct 22 2025 | 13:00:30 | main | Error con operacion con punteros dinamicos.
1 | master/main.c:31 | Oct 22 2025 | 13:00:30 | main | Error con operacion con punteros dinamicos.
1 | master/main.c:39 | Oct 22 2025 | 13:00:30 | main | Error con operacion con punteros dinamicos.
1 | master/main.c:31 | Oct 22 2025 | 13:00:30 | main | Error con operacion con punteros dinamicos.
1 | master/main.c:39 | Oct 22 2025 | 13:00:30 | main | Error con operacion con punteros dinamicos.
1 | master/main.c:33 | Oct 22 2025 | 18:20:57 | main | Error con operacion con punteros dinamicos.
1 | master/main.c:41 | Oct 22 2025 | 18:20:57 | main | Error con operacion con punteros dinamicos.
1 | master/main.c:33 | Oct 22 2025 | 18:20:57 | main | Error con operacion con punteros dinamicos.
1 | master/main.c:41 | Oct 22 2025 | 18:20:57 | main | Error con operacion con punteros dinamicos.
1 | master/main.c:33 | Oct 22 2025 | 18:20:57 | main | Error con operacion con punteros dinamicos.
1 | master/main.c:41 | Oct 22 2025 | 18:20:57 | main | Error con operacion con punteros dinamicos.
1 | master/main.c:33 | Oct 22 2025 | 18:20:57 | main | Error con operacion con punteros dinamicos.
1 | master/main.c:41 | Oct 22 2025 | 18:20:57 | main | Error con operacion con punteros dinamicos.
1 | master/main.c:33 | Oct 22 2025 | 18:20:57 | main | Error con operacion con punteros dinamicos.
1 | master/main.c:41 | Oct 22 2025 | 18:20:57 | main | Error con operacion con punteros dinamicos.
1 | master/main.c:33 | Oct 22 2025 | 18:20:57 | main | Error con operacion con punteros dinamicos.
1 | master/main.c:41 | Oct 22 2025 | 18:20:57 | main | Error con operacion con punteros dinamicos.
1 | master/main.c:33 | Oct 22 2025 | 18:20:57 | main | Error con operacion con punteros dinamicos.
1 | master/main.c:41 | Oct 22 2025 | 18:20:57 | main | Error con operacion con punteros dinamicos.
1 | master/main.c:33 | Oct 22 2025 | 18:20:57 | main | Error con operacion con punteros dinamicos.
1 | master/main.c:41 | Oct 22 2025 | 18:20:57 | main | Error con operacion con punteros dinamicos.
1 | master/main.c:33 | Oct 22 2025 | 18:20:57 | main | Error con operacion con punteros dinamicos.
1 | master/main.c:41 | Oct 22 2025 | 18:20:57 | main | Error con operacion con punteros dinamicos.
6 | master/main.c:50 | Oct 22 2025 | 18:20:57 | main | Error en el ingreso de informacion.
1 | master/main.c:33 | Oct 22 2025 | 18:20:57 | main | Error con operacion con punteros dinamicos.
1 | master/main.c:41 | Oct 22 2025 | 18:20:57 | main | Error con operacion con punteros dinamicos.
6 | master/main.c:50 | Oct 22 2025 | 18:20:57 | main | Error en el ingreso de informacion.
1 | master/main.c:33 | Oct 22 2025 | 18:20:57 | main | Error con operacion con punteros dinamicos.
1 | master/main.c:41 | Oct 22 2025 | 18:20:57 | main | Error con operacion con punteros dinamicos.
6 | master/main.c:50 | Oct 22 2025 | 18:20:57 | main | Error en el ingreso de informacion.
1 | master/main.c:33 | Oct 22 2025 | 18:20:57 | main | Error con operacion con punteros dinamicos.
1 | master/main.c:41 | Oct 22 2025 | 18:20:57 | main | Error con operacion con punteros dinamicos.
6 | master/main.c:50 | Oct 22 2025 | 18:20:57 | main | Error en el ingreso de informacion.
1 | master/main.c:33 | Oct 22 2025 | 18:20:57 | main | Error con operacion con punteros dinamicos.
1 | master/main.c:41 | Oct 22 2025 | 18:20:57 | main | Error con operacion con punteros dinamicos.
6 | master/main.c:50 | Oct 22 2025 | 18:20:57 | main | Error en el ingreso de informacion.
1 | master/main.c:33 | Oct 22 2025 | 18:20:57 | main | Error con operacion con punteros dinamicos.
1 | master/main.c:41 | Oct 22 2025 | 18:20:57 | main | Error con operacion con punteros dinamicos.
