04 | Vivienda agua electricidad gas y otros combustibles  | Nivel general y divisiones COICOP | 100 | NA | NA | GBA | 2016 - Diciembre
06 | Salud  | Nivel general y divisiones COICOP | 100 | NA | NA | GBA | 2016 - Diciembre
07 | Transporte  | Nivel general y divisiones COICOP | 100 | NA | NA | GBA | 2016 - Diciembre
08 | Comunicaci n  | Nivel general y divisiones COICOP | 100 | NA | NA | GBA | 2016 - Diciembre
09 | Recreaci n y cultura  | Nivel general y divisiones COICOP | 100 | NA | NA | GBA | 2016 - Diciembre
10 | Educaci n  | Nivel general y divisiones COICOP | 100 | NA | NA | GBA | 2016 - Diciembre
11 | Restaurantes y hoteles  | Nivel general y divisiones COICOP | 100 | NA | NA | GBA | 2016 - Diciembre
04 | Vivienda agua electricidad gas y otros combustibles  | Nivel general y divisiones COICOP | 99.9812 | 0 | NA | GBA | 2017 - Enero
06 | Salud  | Nivel general y divisiones COICOP | 101.3559 | 1.4 | NA | GBA | 2017 - Enero
07 | Transporte  | Nivel general y divisiones COICOP | 101.7583 | 1.8 | NA | GBA | 2017 - Enero
08 | Comunicaci n  | Nivel general y divisiones COICOP | 103.8174 | 3.8 | NA | GBA | 2017 - Enero
09 | Recreaci n y cultura  | Nivel general y divisiones COICOP | 103.243 | 3.2 | NA | GBA | 2017 - Enero
10 | Educaci n  | Nivel general y divisiones COICOP | 100.4869 | 0.5 | NA | GBA | 2017 - Enero
11 | Restaurantes y hoteles  | Nivel general y divisiones COICOP | 103.2868 | 3.3 | NA | GBA | 2017 - Enero
04 | Vivienda agua electricidad gas y otros combustibles  | Nivel general y divisiones COICOP | 108.4042 | 8.4 | NA | GBA | 2017 - Febrero
06 | Salud  | Nivel general y divisiones COICOP | 104.6961 | 3.3 | NA | GBA | 2017 - Febrero
07 | Transporte  | Nivel general y divisiones COICOP | 103.5441 | 1.8 | NA | GBA | 2017 - Febrero
08 | Comunicaci n  | Nivel general y divisiones COICOP | 108.0484 | 4.1 | NA | GBA | 2017 - Febrero
09 | Recreaci n y cultura  | Nivel general y divisiones COICOP | 103.3096 | 0.1 | NA | GBA | 2017 - Febrero
10 | Educaci n  | Nivel general y divisiones COICOP | 104.936 | 4.4 | NA | GBA | 2017 - Febrero
11 | Restaurantes y hoteles  | Nivel general y divisiones COICOP | 105.1373 | 1.8 | NA | GBA | 2017 - Febrero
04 | Vivienda agua electricidad gas y otros combustibles  | Nivel general y divisiones COICOP | 110.7756 | 2.2 | NA | GBA | 2017 - Marzo
06 | Salud  | Nivel general y divisiones COICOP | 106.6572 | 1.9 | NA | GBA | 2017 - Marzo
07 | Transporte  | Nivel general y divisiones COICOP | 104.5685 | 1 | NA | GBA | 2017 - Marzo
08 | Comunicaci n  | Nivel general y divisiones COICOP | 110.6652 | 2.4 | NA | GBA | 2017 - Marzo
09 | Recreaci n y cultura  | Nivel general y divisiones COICOP | 104.8017 | 1.4 | NA | GBA | 2017 - Marzo
10 | Educaci n  | Nivel general y divisiones COICOP | 111.9338 | 6.7 | NA | GBA | 2017 - Marzo
11 | Restaurantes y hoteles  | Nivel general y divisiones COICOP | 106.1813 | 1 | NA | GBA | 2017 - Marzo
04 | Vivienda agua electricidad gas y otros combustibles  | Nivel general y divisiones COICOP | 115.889 | 4.6 | NA | GBA | 2017 - Abril
06 | Salud  | Nivel general y divisiones COICOP | 108.1913 | 1.4 | NA | GBA | 2017 - Abril
07 | Transporte  | Nivel general y divisiones COICOP | 105.0876 | 0.5 | NA | GBA | 2017 - Abril
08 | Comunicaci n  | Nivel general y divisiones COICOP | 118.2386 | 6.8 | NA | GBA | 2017 - Abril
09 | Recreaci n y cultura  | Nivel general y divisiones COICOP | 108.3531 | 3.4 | NA | GBA | 2017 - Abril
10 | Educaci n  | Nivel general y divisiones COICOP | 116.2786 | 3.9 | NA | GBA | 2017 - Abril
11 | Restaurantes y hoteles  | Nivel general y divisiones COICOP | 108.3494 | 2 | NA | GBA | 2017 - Abril
04 | Vivienda agua electricidad gas y otros combustibles  | Nivel general y divisiones COICOP | 118.0458 | 1.9 | NA | GBA | 2017 - Mayo
06 | Salud  | Nivel general y divisiones COICOP | 109.7879 | 1.5 | NA | GBA | 2017 - Mayo
07 | Transporte  | Nivel general y divisiones COICOP | 106.2149 | 1.1 | NA | GBA | 2017 - Mayo
08 | Comunicaci n  | Nivel general y divisiones COICOP | 118.1821 | 0 | NA | GBA | 2017 - Mayo
09 | Recreaci n y cultura  | Nivel general y divisiones COICOP | 109.3191 | 0.9 | NA | GBA | 2017 - Mayo
10 | Educaci n  | Nivel general y divisiones COICOP | 118.5362 | 1.9 | NA | GBA | 2017 - Mayo
11 | Restaurantes y hoteles  | Nivel general y divisiones COICOP | 109.4833 | 1 | NA | GBA | 2017 - Mayo
04 | Vivienda agua electricidad gas y otros combustibles  | Nivel general y divisiones COICOP | 120.9192 | 2.4 | NA | GBA | 2017 - Junio
06 | Salud  | Nivel general y divisiones COICOP | 111.1892 | 1.3 | NA | GBA | 2017 - Junio
07 | Transporte  | Nivel general y divisiones COICOP | 106.5466 | 0.3 | NA | GBA | 2017 - Junio
08 | Comunicaci n  | Nivel general y divisiones COICOP | 120.4465 | 1.9 | NA | GBA | 2017 - Junio
09 | Recreaci n y cultura  | Nivel general y divisiones COICOP | 112.5701 | 3 | NA | GBA | 2017 - Junio
10 | Educaci n  | Nivel general y divisiones COICOP | 119.4016 | 0.7 | NA | GBA | 2017 - Junio
11 | Restaurantes y hoteles  | Nivel general y divisiones COICOP | 111.3293 | 1.7 | NA | GBA | 2017 - Junio
04 | Vivienda agua electricidad gas y otros combustibles  | Nivel general y divisiones COICOP | 123.9173 | 2.5 | NA | GBA | 2017 - Julio
06 | Salud  | Nivel general y divisiones COICOP | 114.9895 | 3.4 | NA | GBA | 2017 - Julio
07 | Transporte  | Nivel general y divisiones COICOP | 108.0683 | 1.4 | NA | GBA | 2017 - Julio
08 | Comunicaci n  | Nivel general y divisiones COICOP | 121.0689 | 0.5 | NA | GBA | 2017 - Julio
09 | Recreaci n y cultura  | Nivel general y divisiones COICOP | 116.1042 | 3.1 | NA | GBA | 2017 - Julio
10 | Educaci n  | Nivel general y divisiones COICOP | 120.2404 | 0.7 | NA | GBA | 2017 - Julio
11 | Restaurantes y hoteles  | Nivel general y divisiones COICOP | 114.0646 | 2.5 | NA | GBA | 2017 - Julio
04 | Vivienda agua electricidad gas y otros combustibles  | Nivel general y divisiones COICOP | 127.1644 | 2.6 | NA | GBA | 2017 - Agosto
06 | Salud  | Nivel general y divisiones COICOP | 118.3191 | 2.9 | NA | GBA | 2017 - Agosto
07 | Transporte  | Nivel general y divisiones COICOP | 109.2582 | 1.1 | NA | GBA | 2017 - Agosto
08 | Comunicaci n  | Nivel general y divisiones COICOP | 123.3833 | 1.9 | NA | GBA | 2017 - Agosto
09 | Recreaci n y cultura  | Nivel general y divisiones COICOP | 116.1082 | 0 | NA | GBA | 2017 - Agosto
10 | Educaci n  | Nivel general y divisiones COICOP | 121.9879 | 1.5 | NA | GBA | 2017 - Agosto
11 | Restaurantes y hoteles  | Nivel general y divisiones COICOP | 115.0985 | 0.9 | NA | GBA | 2017 - Agosto
04 | Vivienda agua electricidad gas y otros combustibles  | Nivel general y divisiones COICOP | 128.2415 | 0.8 | NA | GBA | 2017 - Mayo
06 | Salud  | Nivel general y divisiones COICOP | 121.1943 | 2.4 | NA | GBA | 2017 - Mayo
07 | Transporte  | Nivel general y divisiones COICOP | 110.258 | 0.9 | NA | GBA | 2017 - Mayo
08 | Comunicaci n  | Nivel general y divisiones COICOP | 124.5391 | 0.9 | NA | GBA | 2017 - Mayo
09 | Recreaci n y cultura  | Nivel general y divisiones COICOP | 120.017 | 3.4 | NA | GBA | 2017 - Mayo
10 | Educaci n  | Nivel general y divisiones COICOP | 128.2949 | 5.2 | NA | GBA | 2017 - Mayo
11 | Restaurantes y hoteles  | Nivel general y divisiones COICOP | 116.4971 | 1.2 | NA | GBA | 2017 - Mayo
04 | Vivienda agua electricidad gas y otros combustibles  | Nivel general y divisiones COICOP | 128.9128 | 0.5 | NA | GBA | 2017 - Octubre
06 | Salud  | Nivel general y divisiones COICOP | 122.1487 | 0.8 | NA | GBA | 2017 - Octubre
