04 | Vivienda, agua, electricidad, gas y otros combustibles | Nivel general y divisiones COICOP | 100 | NA | NA | GBA | Diciembre - 2016
04 | Vivienda, agua, electricidad, gas y otros combustibles | Nivel general y divisiones COICOP | 100 | NA | NA | Pampeana | Diciembre - 2016
04 | Vivienda, agua, electricidad, gas y otros combustibles | Nivel general y divisiones COICOP | 100 | NA | NA | Noreste | Diciembre - 2016
04 | Vivienda, agua, electricidad, gas y otros combustibles | Nivel general y divisiones COICOP | 100 | NA | NA | Noroeste | Diciembre - 2016
04 | Vivienda, agua, electricidad, gas y otros combustibles | Nivel general y divisiones COICOP | 100 | NA | NA | Cuyo | Diciembre - 2016
04 | Vivienda, agua, electricidad, gas y otros combustibles | Nivel general y divisiones COICOP | 100 | NA | NA | Patagonia | Diciembre - 2016
06 | Salud | Nivel general y divisiones COICOP | 100 | NA | NA | GBA | Diciembre - 2016
06 | Salud | Nivel general y divisiones COICOP | 100 | NA | NA | Pampeana | Diciembre - 2016
06 | Salud | Nivel general y divisiones COICOP | 100 | NA | NA | Noreste | Diciembre - 2016
06 | Salud | Nivel general y divisiones COICOP | 100 | NA | NA | Noroeste | Diciembre - 2016
06 | Salud | Nivel general y divisiones COICOP | 100 | NA | NA | Cuyo | Diciembre - 2016
06 | Salud | Nivel general y divisiones COICOP | 100 | NA | NA | Patagonia | Diciembre - 2016
07 | Transporte | Nivel general y divisiones COICOP | 100 | NA | NA | GBA | Diciembre - 2016
07 | Transporte | Nivel general y divisiones COICOP | 100 | NA | NA | Pampeana | Diciembre - 2016
07 | Transporte | Nivel general y divisiones COICOP | 100 | NA | NA | Noreste | Diciembre - 2016
07 | Transporte | Nivel general y divisiones COICOP | 100 | NA | NA | Noroeste | Diciembre - 2016
07 | Transporte | Nivel general y divisiones COICOP | 100 | NA | NA | Cuyo | Diciembre - 2016
07 | Transporte | Nivel general y divisiones COICOP | 100 | NA | NA | Patagonia | Diciembre - 2016
08 | Comunicación | Nivel general y divisiones COICOP | 100 | NA | NA | GBA | Diciembre - 2016
08 | Comunicación | Nivel general y divisiones COICOP | 100 | NA | NA | Pampeana | Diciembre - 2016
08 | Comunicación | Nivel general y divisiones COICOP | 100 | NA | NA | Noreste | Diciembre - 2016
08 | Comunicación | Nivel general y divisiones COICOP | 100 | NA | NA | Noroeste | Diciembre - 2016
08 | Comunicación | Nivel general y divisiones COICOP | 100 | NA | NA | Cuyo | Diciembre - 2016
08 | Comunicación | Nivel general y divisiones COICOP | 100 | NA | NA | Patagonia | Diciembre - 2016
09 | Recreación y cultura | Nivel general y divisiones COICOP | 100 | NA | NA | GBA | Diciembre - 2016
09 | Recreación y cultura | Nivel general y divisiones COICOP | 100 | NA | NA | Pampeana | Diciembre - 2016
09 | Recreación y cultura | Nivel general y divisiones COICOP | 100 | NA | NA | Noreste | Diciembre - 2016
09 | Recreación y cultura | Nivel general y divisiones COICOP | 100 | NA | NA | Noroeste | Diciembre - 2016
09 | Recreación y cultura | Nivel general y divisiones COICOP | 100 | NA | NA | Cuyo | Diciembre - 2016
09 | Recreación y cultura | Nivel general y divisiones COICOP | 100 | NA | NA | Patagonia | Diciembre - 2016
10 | Educación | Nivel general y divisiones COICOP | 100 | NA | NA | GBA | Diciembre - 2016
10 | Educación | Nivel general y divisiones COICOP | 100 | NA | NA | Pampeana | Diciembre - 2016
10 | Educación | Nivel general y divisiones COICOP | 100 | NA | NA | Noreste | Diciembre - 2016
10 | Educación | Nivel general y divisiones COICOP | 100 | NA | NA | Noroeste | Diciembre - 2016
10 | Educación | Nivel general y divisiones COICOP | 100 | NA | NA | Cuyo | Diciembre - 2016
10 | Educación | Nivel general y divisiones COICOP | 100 | NA | NA | Patagonia | Diciembre - 2016
11 | Restaurantes y hoteles | Nivel general y divisiones COICOP | 100 | NA | NA | GBA | Diciembre - 2016
11 | Restaurantes y hoteles | Nivel general y divisiones COICOP | 100 | NA | NA | Pampeana | Diciembre - 2016
11 | Restaurantes y hoteles | Nivel general y divisiones COICOP | 100 | NA | NA | Noreste | Diciembre - 2016
11 | Restaurantes y hoteles | Nivel general y divisiones COICOP | 100 | NA | NA | Noroeste | Diciembre - 2016
11 | Restaurantes y hoteles | Nivel general y divisiones COICOP | 100 | NA | NA | Cuyo | Diciembre - 2016
11 | Restaurantes y hoteles | Nivel general y divisiones COICOP | 100 | NA | NA | Patagonia | Diciembre - 2016
